"x","y","pch","col","bg","cex","x.orig","y.orig"
1,76.4023356117233,1,"black",NA,0.6,NA,76.19
1,74.1610535709261,1,"black",NA,0.6,NA,74.06
1,73.0404125505275,1,"black",NA,0.6,NA,72.79
0.956222378606615,71.9197715301289,1,"black",NA,0.6,NA,71.9
0.978111189303308,71.9197715301289,1,"black",NA,0.6,NA,71.81
1,71.9197715301289,1,"black",NA,0.6,NA,71.51
1.02188881069669,71.9197715301289,1,"black",NA,0.6,NA,71.5
1.04377762139338,71.9197715301289,1,"black",NA,0.6,NA,71.39
0.890555946516538,70.7991305097304,1,"black",NA,0.6,NA,71.35
0.91244475721323,70.7991305097304,1,"black",NA,0.6,NA,71.35
0.934333567909923,70.7991305097304,1,"black",NA,0.6,NA,71.34
0.956222378606615,70.7991305097304,1,"black",NA,0.6,NA,71.33
0.978111189303308,70.7991305097304,1,"black",NA,0.6,NA,70.95
1,70.7991305097304,1,"black",NA,0.6,NA,70.81
1.02188881069669,70.7991305097304,1,"black",NA,0.6,NA,70.81
1.04377762139338,70.7991305097304,1,"black",NA,0.6,NA,70.76
1.06566643209008,70.7991305097304,1,"black",NA,0.6,NA,70.53
1.08755524278677,70.7991305097304,1,"black",NA,0.6,NA,70.49
1.10944405348346,70.7991305097304,1,"black",NA,0.6,NA,70.45
0.934333567909923,69.6784894893318,1,"black",NA,0.6,NA,69.87
0.956222378606615,69.6784894893318,1,"black",NA,0.6,NA,69.82
0.978111189303308,69.6784894893318,1,"black",NA,0.6,NA,69.7
1,69.6784894893318,1,"black",NA,0.6,NA,69.67
1.02188881069669,69.6784894893318,1,"black",NA,0.6,NA,69.67
1.04377762139338,69.6784894893318,1,"black",NA,0.6,NA,69.57
1.06566643209008,69.6784894893318,1,"black",NA,0.6,NA,69.31
0.923389162561576,68.5578484689332,1,"black",NA,0.6,NA,69.1
0.945277973258269,68.5578484689332,1,"black",NA,0.6,NA,68.86
0.967166783954961,68.5578484689332,1,"black",NA,0.6,NA,68.85
0.989055594651654,68.5578484689332,1,"black",NA,0.6,NA,68.51
1.01094440534835,68.5578484689332,1,"black",NA,0.6,NA,68.49
1.03283321604504,68.5578484689332,1,"black",NA,0.6,NA,68.47
1.05472202674173,68.5578484689332,1,"black",NA,0.6,NA,68.04
1.07661083743842,68.5578484689332,1,"black",NA,0.6,NA,68.03
0.934333567909923,67.4372074485346,1,"black",NA,0.6,NA,67.91
0.956222378606615,67.4372074485346,1,"black",NA,0.6,NA,67.9
0.978111189303308,67.4372074485346,1,"black",NA,0.6,NA,67.89
1,67.4372074485346,1,"black",NA,0.6,NA,67.84
1.02188881069669,67.4372074485346,1,"black",NA,0.6,NA,67.77
1.04377762139338,67.4372074485346,1,"black",NA,0.6,NA,67.66
1.06566643209008,67.4372074485346,1,"black",NA,0.6,NA,66.92
0.835833919774806,66.316566428136,1,"black",NA,0.6,NA,66.8
0.857722730471499,66.316566428136,1,"black",NA,0.6,NA,66.72
0.879611541168191,66.316566428136,1,"black",NA,0.6,NA,66.63
0.901500351864884,66.316566428136,1,"black",NA,0.6,NA,66.51
0.923389162561576,66.316566428136,1,"black",NA,0.6,NA,66.5
0.945277973258269,66.316566428136,1,"black",NA,0.6,NA,66.37
0.967166783954961,66.316566428136,1,"black",NA,0.6,NA,66.33
0.989055594651654,66.316566428136,1,"black",NA,0.6,NA,66.26
1.01094440534835,66.316566428136,1,"black",NA,0.6,NA,66.21
1.03283321604504,66.316566428136,1,"black",NA,0.6,NA,66.21
